hand_x,hand_y,hand_z,hand_rot_x,hand_rot_y,hand_rot_z,elbow_x,elbow_y,elbow_z,elbow_rot_x,elbow_rot_y,elbow_rot_z
-0.2268356,1.217866,0.2659326,350.2577,76.28233,339.4044,-0.7898866,1.29316,0.1489476,332.316,242.5071,89.68327
-0.2294872,1.215996,0.2678567,350.1992,76.04114,339.1428,-0.7898637,1.293054,0.1489217,332.3325,242.5193,89.70477
-0.2348931,1.212627,0.2713693,350.1164,75.52468,338.7173,-0.7982529,1.289525,0.1456554,332.0286,241.7144,89.19631
-0.2450117,1.207042,0.2773243,350.0812,74.63296,338.8122,-0.8070534,1.285702,0.1415286,331.6912,240.7893,88.5461
-0.249819,1.204898,0.2797214,350.2111,74.22275,339.2769,-0.8071958,1.285918,0.1416239,331.6928,240.7908,88.52206
-0.2564918,1.202197,0.2825537,350.3755,73.76805,340.2453,-0.8162206,1.282106,0.1371353,331.2602,239.7478,87.6961
-0.2647103,1.199727,0.2851454,350.0529,73.55011,341.2511,-0.8235244,1.278959,0.1328325,330.8496,238.8074,86.95584
-0.2705154,1.198635,0.2861274,349.4703,73.73016,341.4706,-0.8318259,1.275892,0.1281252,330.3479,237.7796,86.10956
-0.2745793,1.19816,0.2861284,348.9496,73.96011,341.3182,-0.8317939,1.275832,0.1280817,330.3248,237.7323,86.06808
-0.2785695,1.197726,0.2859368,348.4166,74.25164,340.9073,-0.8400365,1.272438,0.122483,329.8088,236.6237,85.29126
-0.2866173,1.196716,0.2850707,347.569,74.94312,340.1406,-0.8494023,1.268876,0.1161335,329.2259,235.3745,84.48133
-0.2971363,1.19469,0.2842739,347.2304,75.47738,340.4564,-0.8491005,1.268792,0.1162503,329.2071,235.3227,84.44444
-0.3057692,1.191961,0.2844743,347.598,75.34432,342.5973,-0.8572811,1.265885,0.1105018,328.6057,234.2621,83.69276
-0.3123946,1.18892,0.2850689,347.8735,75.28175,344.653,-0.8671213,1.262844,0.1035869,327.7684,233.0097,82.74085
-0.3171319,1.187088,0.2852736,347.9001,75.29905,345.9361,-0.8671104,1.26285,0.1035693,327.7685,233.0046,82.74534
-0.3270948,1.183161,0.2867843,347.7891,75.31131,348.3085,-0.8755029,1.26026,0.09690905,326.9677,231.7998,81.92532
-0.3378259,1.178117,0.2888105,348.0774,75.42802,348.9406,-0.8833035,1.257756,0.09002662,326.2473,230.5155,81.26449
-0.3435687,1.175106,0.2899165,348.3263,75.55939,348.5709,-0.8832351,1.257771,0.08999884,326.2318,230.4791,81.25487
-0.3525519,1.170559,0.2918617,348.5373,75.54722,347.9448,-0.8909503,1.255438,0.08277988,325.5388,229.1266,80.70878
-0.361693,1.166025,0.2951441,348.598,74.51378,347.9395,-0.8986648,1.253472,0.07566547,324.8061,227.7762,80.09168
-0.3742894,1.159577,0.3017287,348.9132,71.64369,349.3965,-0.9063684,1.251979,0.06860554,323.8651,226.4882,79.44074
-0.3842307,1.154027,0.3071412,349.316,69.02653,350.9563,-0.9125868,1.251383,0.0629735,322.9722,225.4457,78.99294
-0.3910544,1.150195,0.3102567,349.6501,67.5447,352.007,-0.9124938,1.251376,0.06294048,322.9947,225.4115,79.00448
-0.3982935,1.146325,0.3128316,350.14,66.34622,352.9166,-0.9124938,1.251376,0.06294048,322.9947,225.4115,79.00448
-0.4057941,1.142219,0.314605,350.7744,65.51176,353.3582,-0.92496,1.250118,0.04944611,321.0738,222.5706,78.4789
-0.4171225,1.136013,0.316273,351.4736,64.8637,353.3131,-0.9249431,1.250112,0.04944599,321.0865,222.567,78.47575
-0.4247342,1.131987,0.3166934,351.7202,64.82616,352.9822,-0.9310039,1.249378,0.04246163,320.2451,220.9157,78.17172
-0.4360288,1.126117,0.3166162,351.9092,64.80588,351.9673,-0.9310113,1.249377,0.04246235,320.2462,220.919,78.16436
-0.4510885,1.118326,0.3172239,352.2063,63.51791,351.6856,-0.9310113,1.249377,0.04246235,320.2462,220.919,78.16436
-0.4628211,1.112279,0.3190802,352.7079,61.50279,353.3545,-0.9310113,1.249377,0.04246235,320.2462,220.919,78.16436
-0.4710032,1.108039,0.3203261,353.1971,60.05569,354.6764,-0.9310113,1.249377,0.04246235,320.2462,220.919,78.16436
-0.4881603,1.098971,0.3210845,354.3932,57.92888,356.5562,-0.9310113,1.249377,0.04246235,320.2462,220.919,78.16436
-0.4924091,1.096548,0.3208268,354.6616,57.63588,356.7404,-0.9310113,1.249377,0.04246235,320.2462,220.919,78.16436
-0.5090717,1.086122,0.3183224,355.2929,56.96992,355.6767,-0.9538082,1.247171,0.01602983,317.952,213.315,77.3853
-0.5253862,1.075774,0.3147798,355.774,56.27196,353.4331,-0.95373,1.247145,0.01594067,317.9497,213.2602,77.39731
-0.5417212,1.064732,0.3125998,357.1733,54.53931,353.0184,-0.9581686,1.24656,0.01183867,317.994,211.7554,77.30991
-0.5458359,1.061855,0.3123937,357.6488,53.94442,353.3389,-0.9581686,1.24656,0.01183867,317.994,211.7554,77.30991
-0.558458,1.053141,0.3120441,359.155,52.08286,354.8151,-0.9581686,1.24656,0.01183867,317.994,211.7554,77.30991
-0.5715891,1.044811,0.3111597,0.547255,50.61322,356.4303,-0.9581686,1.24656,0.01183867,317.994,211.7554,77.30991
-0.5842906,1.036503,0.3095716,1.85516,49.84657,357.2437,-0.9581686,1.24656,0.01183867,317.994,211.7554,77.30991
-0.5965842,1.028801,0.3077219,2.797081,49.33015,356.7187,-0.9581686,1.24656,0.01183867,317.994,211.7554,77.30991
-0.6047467,1.02418,0.3069692,3.262457,48.71978,355.8782,-0.9581686,1.24656,0.01183867,317.994,211.7554,77.30991
-0.6087083,1.022105,0.306726,3.470261,48.32607,355.4592,-0.9708432,1.24447,0.001892805,320.5385,205.9229,77.2579
-0.6169072,1.018272,0.3069217,3.856998,47.25153,354.6129,-0.9708322,1.244485,0.001901865,320.5348,205.9209,77.25495
-0.6295794,1.013397,0.3081155,4.529793,45.21909,354.1587,-0.9708322,1.244485,0.001901865,320.5348,205.9209,77.25495
-0.6421686,1.009088,0.3099867,5.433959,43.04379,354.4645,-0.9708322,1.244485,0.001901865,320.5348,205.9209,77.25495
-0.6462818,1.007944,0.3106389,5.68381,42.35831,354.5995,-0.9708322,1.244485,0.001901865,320.5348,205.9209,77.25495
-0.6616319,1.00534,0.3134558,6.025124,39.91719,355.5987,-0.9708322,1.244485,0.001901865,320.5348,205.9209,77.25495
-0.6724173,1.00531,0.3159579,5.667145,38.35494,356.6645,-0.9727634,1.242026,0.003266573,325.0594,202.3548,76.41389
-0.6823777,1.00666,0.3190819,5.038069,36.74438,357.3435,-0.9727634,1.242026,0.003266573,325.0594,202.3548,76.41389
-0.6922857,1.008498,0.3226362,4.643981,35.16169,357.8697,-0.9727634,1.242026,0.003266573,325.0594,202.3548,76.41389
-0.7039796,1.011649,0.3279147,3.810863,33.23476,358.0328,-0.9727634,1.242026,0.003266573,325.0594,202.3548,76.41389
-0.711706,1.015028,0.3333626,2.778613,31.85727,356.9371,-0.9704789,1.239767,0.007954478,329.1056,200.4173,75.1325
-0.719576,1.01913,0.3390418,1.600693,30.13481,355.2316,-0.9702991,1.239692,0.007674575,329.1128,200.3807,75.18065
-0.727348,1.023748,0.3454291,0.6626199,28.23308,354.0868,-0.9702991,1.239692,0.007674575,329.1128,200.3807,75.18065
-0.7352344,1.028891,0.3526767,359.8043,26.11571,354.5948,-0.9702991,1.239692,0.007674575,329.1128,200.3807,75.18065
-0.7457587,1.036455,0.362488,358.9393,23.15304,356.2391,-0.9664756,1.237998,0.01494193,334.0251,198.9683,73.61722
-0.7506377,1.040278,0.3675175,358.51,21.81637,357.2014,-0.9664782,1.238005,0.01493728,334.0249,198.9678,73.61909
-0.7572712,1.046264,0.374943,357.3707,19.99489,357.9512,-0.9664782,1.238005,0.01493728,334.0249,198.9678,73.61909
-0.7632917,1.05308,0.3825264,355.6432,18.48752,357.0131,-0.9642543,1.237886,0.02133465,337.5035,198.6186,72.84184
-0.76714,1.057957,0.38743,354.3551,17.68955,355.7268,-0.9642652,1.23794,0.02135921,337.497,198.6372,72.85131
-0.7730147,1.06547,0.3952194,352.6009,16.4143,353.496,-0.9642652,1.23794,0.02135921,337.497,198.6372,72.85131
-0.779343,1.073829,0.4037246,351.0883,14.70872,352.1192,-0.9623002,1.239657,0.02967286,340.8286,198.9313,72.62029
-0.7899445,1.087014,0.4153068,349.3103,11.72924,353.1216,-0.9610549,1.241172,0.03428483,342.2698,199.2378,72.82716
-0.7928227,1.090595,0.4182,348.9124,10.86444,353.8095,-0.9609355,1.241021,0.03390884,342.2845,199.2395,72.80358
-0.8044719,1.105682,0.4292372,347.5575,7.31085,357.6263,-0.9594206,1.24296,0.03921115,343.8282,199.6867,73.086
-0.8100606,1.113672,0.4340785,346.8972,5.608219,359.9426,-0.9577893,1.245586,0.04547143,345.3955,200.3295,73.50024
-0.8176287,1.125945,0.4406561,345.6476,3.12552,3.375922,-0.9576281,1.245326,0.04489517,345.4055,200.3187,73.48408
-0.821968,1.134479,0.4441677,344.6462,1.73452,5.118752,-0.9555854,1.248363,0.05181265,347.0071,201.093,73.93094
-0.8284079,1.151799,0.4499292,342.1594,359.9047,7.835685,-0.9528297,1.251467,0.05859876,348.5909,201.9592,74.4111
-0.8303407,1.160347,0.4522399,340.7915,359.5128,9.225442,-0.9525574,1.251153,0.05796432,348.603,201.9677,74.40698
-0.8320051,1.172938,0.4554231,338.7323,359.3266,10.69367,-0.9506162,1.254291,0.06404757,349.7676,202.6579,74.79214
-0.8321475,1.180988,0.4577549,337.388,359.466,11.23895,-0.9480182,1.256919,0.06913424,350.8563,203.346,75.16723
-0.8319656,1.188799,0.4597505,336.1731,359.7049,11.41822,-0.9435681,1.260651,0.07591224,352.3812,204.4083,75.74804
-0.8309587,1.199991,0.4627428,334.6708,0.02551197,11.58484,-0.9435681,1.260651,0.07591224,352.3812,204.4083,75.74804
-0.8299514,1.207297,0.4647293,333.9384,0.1504985,12.00115,-0.9384073,1.266856,0.0860765,354.0585,205.7443,76.52378
-0.8285142,1.214359,0.4670873,333.2827,0.3760005,12.5534,-0.933266,1.271013,0.09225714,355.276,206.7632,77.15204
-0.8254281,1.228521,0.4705048,331.9147,0.7741065,13.86361,-0.9281732,1.277003,0.1007417,356.4767,207.8495,77.83038
-0.8244375,1.232297,0.4712889,331.4934,0.9248766,14.08315,-0.9281732,1.277003,0.1007417,356.4767,207.8495,77.83038
-0.8210961,1.243752,0.4734565,330.0588,1.486393,14.55683,-0.9217266,1.282661,0.1084039,357.6635,209.0007,78.52242
-0.8173419,1.255597,0.4748303,328.394,1.966339,14.9752,-0.9211737,1.282467,0.1082122,357.6573,209.0291,78.51407
-0.8147448,1.263616,0.475692,327.2856,2.135467,15.41003,-0.9147724,1.292937,0.1220385,358.9958,210.4651,79.31585
-0.8106049,1.275804,0.4771396,325.6361,2.287231,16.37384,-0.9094135,1.298715,0.129019,359.8223,211.4679,79.87259
-0.8077811,1.283744,0.478343,324.7183,2.301769,17.29808,-0.9092704,1.298884,0.1290048,359.7943,211.5283,79.90366
-0.8029855,1.295781,0.4799733,323.315,2.299424,17.70018,-0.9092704,1.298884,0.1290048,359.7943,211.5283,79.90366
-0.8014811,1.299883,0.4804064,322.8503,2.189718,17.69227,-0.8886679,1.315343,0.1466606,2.002006,214.8359,81.98779
-0.7960681,1.311749,0.4824395,321.7005,2.318901,17.85647,-0.8886679,1.315343,0.1466606,2.002006,214.8359,81.98779
-0.7881569,1.327054,0.484943,320.6114,2.766106,18.98828,-0.8886679,1.315343,0.1466606,2.002006,214.8359,81.98779
-0.7860035,1.330769,0.4857066,320.4609,3.011686,19.39962,-0.8886679,1.315343,0.1466606,2.002006,214.8359,81.98779
-0.773558,1.349317,0.4897114,319.3372,5.179256,21.29164,-0.8552474,1.342001,0.1703094,4.308194,219.908,85.72236
-0.7678906,1.357113,0.4911488,318.4793,6.109926,21.43557,-0.843954,1.350694,0.177068,4.848011,221.5031,87.03093
-0.7470859,1.385804,0.4940172,314.6478,8.77107,19.21874,-0.8307832,1.36136,0.1847355,5.323084,223.3039,88.7926
-0.7441679,1.389901,0.4944859,314.2289,8.848389,19.16595,-0.8307377,1.361399,0.1846719,5.307594,223.31,88.81577
-0.7357401,1.402467,0.4956803,313.1567,8.699827,19.66123,-0.8166946,1.372177,0.1912853,5.530269,225.2638,90.83579
-0.73025,1.410859,0.49647,312.5709,8.248075,20.69759,-0.8167483,1.372246,0.1913893,5.566408,225.1622,90.84697
-0.7274786,1.415064,0.4968011,312.344,7.968409,21.43533,-0.8021349,1.384061,0.1976819,5.532029,227.1262,93.15444
